names
"A'Quarone, Leonard"
"Schwitalla, Alphonse Mary, 1882-1965"
"Sciranka, John C."
"Scott, Austin, 1848-1922"
"Scott, Georgette"
"Scott, Georgette."
"Scott, Walter, 1771-1832"
"Scott, Winthrop R."
"Scotten, Robert M."
"Scouggs, William."
"Scribner, Charles, 1854-1930"
"Scudder, Horace Elisha, 1838-1902"
"Seager, Henry R. (Henry Rogers), 1870-1930"
"Seamans, Robert C."
"Seashore, Carl E. (Carl Emil), 1866-1949"
"Seelye, Julius H. (Julius Hawley), 1824-1895"
"Seelye, Laurenus Clark, 1837-1924"
"Seitz, Frederick, 1911-2008"
"Seligman, Edwin R. A. (Edwin Robert Anderson), 1861-1939"
"Selznick, David O., 1902-1965"
"Sembrich, Marcella, 1858-1935"
"Senhouse, Humphrey, 1731-1814"
"Severinghaus, Leslie R."
"Seward, William Henry, 1801-1872"
"Seymour, Thomas D. (Thomas Day), 1848-1907"
"Shantz, Harold"
"Sharp, Evelyn, 1869-1955"
"Shattuck, George Brune."
"Shaw, Albert, 1857-1947"
"Shaw, Bernard, 1856-1950"
"Shaw, Charles F."
"Shear, Theodore Leslie, 1880-1945"
"Shearer, Cindy."
"Sheehan, Bernard W."
"Sheffield, James R. (James Rockwell), 1864-1938"
"Sheldon, Walter Lorenzo, 1858-1907"
"Shelley, Percy Bysshe, 1792-1822"
"Sheppard, Richard A."
"Sherburne, Donald W."
"Sherman, John, 1823-1900"
"Sherman, Roger, 1721-1793"
"Sherman, William T. (William Tecumseh), 1820-1891"
"Shipley, Ruth"
"Shorey, Kenneth Paul."
"Shorey, Paul, 1857-1934"
"Short, John Saulsbury."
"Shotwell, James T., 1874-1965"
"Shull, George Harrison, 1874-1954"
"Siciliano, Rocco C."
"Sickler, Donald, 1929-"
"Sidgwick, Henry, 1838-1900"
"Sidgwick, Henry, 1838-1900"
"Siegler, Nina."
"Sievers, Eduard, 1850-1932"
"Sigerist, Henry E. (Henry Ernest), 1891-1957"
"Sih, Paul K. T. (Paul Kwang Tsien), 1910-"
"Sikes, Wirt, 1836-1883"
"Silberstein, Ludwik, 1872-1948"
"Silliman, Justus M. (Justus Mitchell), 1842-1896"
"Sills, Beverly"
"Simson, Otto Georg von, 1912-"
"Singer, Isidore, 1859-1939"
"Singewald, Joseph T. (Joseph Theophilus), 1884-1963"
"Sissa, Giulia, 1954-"
"Sitwell, Osbert, 1892-1969"
"Sizer, Theodore R."
"Skinner, Otis, 1858-1942"
"Slack, Elizabeth Randall, b. 1892"
"Slack, Henry Richmond, 1889-1957"
"Sloane, William Milligan, 1850-1928"
"Small, Albion W., 1854-1926"
"Smith, Alexander Howland"
"Smith, Dorman H. (Dorman Henry), 1892-1956"
"Smith, Edgar F. (Edgar Fahs), 1854-1928"
"Smith, F. Wilson."
"Smith, George Adam, 1856-1942"
"Smith, George I. (George Irving), 1927-"
"Smith, Gerrit, 1797-1874"
"Smith, Goldwin, 1823-1910"
"Smith, Harriet L. (Harriet Lummis)"
"Smith, J. Lawrence (John Lawrence), 1818-1883"
"Smith, James, approximately 1719-1806"
"Smith, Justin Harvey, 1857-1930"
"Smith, Norman Kemp, 1872-1958"
"Smith, Samuel, 1720-1776"
"Smith, Theobald, 1859-1934"
"Smith, Timothy Lawrence, 1924-"
"Smyth, Herbert C."
"Smyth, Herbert Weir, 1857-1937"
"Snow, Lorenzo, 1814-1901"
"Solalinde, Antonio G. (Antonio García), 1892-1937"
"Soler i Godes, Enric"
"Somerset, Frances Howard Carr, Countess of, 1593-1632"
"Somerset, Robert Carr, Earl of, -1645"
"Sommerfeld, Arnold, 1868-1951"
"Sonneborn, T. M. (Tracy Morton), 1905-1981"
"Sopher, Aaron, 1905-1972"
"Sorango, Donald."
"Sorensen, Nels P."
"Sorokin, Pitirim Aleksandrovich, 1889-1968"
"Sothern, E. H. (Edward Hugh), 1859-1933"
"Souday, Paul, 1869-1929"
"Southard, Addison E."
"Southard, Samuel L. (Samuel Lewis), 1787-1842"
"Southgate, Richard, 1893-"
"Sparks, Edwin Erle, 1860-1924"
"Sparks, Jared, 1789-1866"
"Specht, Heinz, 1907-"
"Spedding, James, 1808-1881"
"Speidel, William Miller, 1935-"
"Spelman, Josephine Pettengill, 1866-1937"
"Spencer, Catherine Bradford Harrison."
"Spencer, Edward, 1800-1840"
"Spencer, Edward, b. ca. 1800"
"Spencer, Eliza Reich."
"Spencer, Guinelda Ethelia Mummey, -1881"
"Spencer, Guinilda Ethelia."
"Spencer, Herbert, 1820-1903"
"Spencer, Jerivs C."
"Spencer, John C. (John Canfield), 1788-1855"
"Spencer, W. Lindsly."
"Spencer, Willing"
"Speyer, Leonora, 1872-1956"
"Spitzer, Leo, 1887-1960"
"Spoelberch de Lovenjoul, Charles, vicomte de, 1836-1907"
"Spofford, Harriet Elizabeth Prescott, 1835-1921"
"Sprague, William B. (William Buell), 1795-1876"
"Springer, Konrad F."
"Squire, John Collings, Sir, 1884-1958"
"Stabler, Jordan Herbert, 1885-1938"
"Ståhle, Nils K."
"Stanton, Edward M."
"Starch, J."
"Starrett, Vincent, 1886-1974"
"Starrett, Vincent, 1886-1974"
"Stassen, Harold E. (Harold Edward), 1907-2001"
"Stedman, Edmund Clarence, 1833-1908"
"Stefán Einarsson, 1897-1972"
"Stefán Einarsson, 1897-1972"
"Stein, Karl, Freiherr vom und zum, 1757-1831"
"Stein, Leo, 1862-1920"
"Steiner, Amy L. (Amy Louise), 1877-"
"Steiner, Walter Ralph, 1870-1942"
"Stephens, H. Morse (Henry Morse), 1857-1919"
"Stephens, James, 1882-1950"
"Sterne, Simon, 1839-1901"
"Sterrett, J. R. Sitlington (John Robert Sitlington), 1851-1914"
"Stettinius, Edward R., Jr. (Edward Reilly), 1900-1949"
Steue decalmelas.
"Stevens, Henry, 1819-1886"
"Stevenson, Adlai E. (Adlai Ewing), 1900-1965"
"Stevenson, Edward Luther, 1858-1944"
"Stewart, Donald Ogden, 1894-1980"
"Stewart, Herbert Leslie, 1882-1953"
"Stewart, James B."
"Stewart, Nathaniel B."
"Stiefel, Eduard L., 1909-"
"Stimson, Henry L. (Henry Lewis), 1867-1950"
"Stirling, F. A."
"Stock, R. D. (Robert D.), 1941-"
"Stockton, Frank R., 1834-1902"
"Stockton, Richard, 1730-1781"
"Stoddard, Richard Henry, 1825-1903"
"Stoddard, William Osborn, 1835-1925"
"Stokes, Anson Phelps, 1874-1958"
"Stokes, George Gabriel, 1819-1903"
"Stone, Harlan Fiske, 1872-1946"
"Stone, Harlan Fiske, 1872-1946"
"Stone, Harry E."
"Stone, Thomas, 1743-1787"
"Storrs, Richard S. (Richard Salter), 1821-1900"
"Story-Maskelyne, Nevil, 1823-1911"
"Story, Joseph, 1779-1845"
"Strachey, John, 1901-1963"
"Strand, Mark, 1934-2014"
"Stratton, George Malcolm, 1865-1957"
"Street, Alfred Billings, 1811?-1881"
"Street, Julian, 1879-1947"
"Streitberg, Wilhelm, 1864-1925"
"Strong, Charles Augustus, 1862-1940"
"Strout, Richard L. (Richard Lee), 1898-"
"Studeholme, J. M."
"Sturtevant, Edgar H. (Edgar Howard), 1875-1952"
"Suarez, Diego"
"Sulzer, William, 1863-1941"
"Sulzer, William, 1863-1941"
"Sulzer, William, 1863-1941"
"Summers, W. (William), 1816-1880"
"Sumner, Charles, 1811-1874"
"Sun, Yat-sen, 1866-1925"
"Swedlund, Nila"
"Swiggett, Glen Levin, 1867-1961"
"Sydenstricker, Edgar, 1881-1936"
"Sylvester, James Joseph, 1814-1897"
"Tabb, John B. (John Banister), 1845-1909"
"Tall, Lida Lee, 1873-1942"
"Tappan, Eli T. (Eli Todd), 1824-1888"
"Tarbell, Ida M. (Ida Minerva), 1857-1944"
"Tarkington, Booth, 1869-1946"
"Tatlock, John S. P. (John Strong Perry), 1876-1948"
"Tausig, Carl, 1841-1871"
"Taussig, F. W. (Frank William), 1859-1940"
"Taylor, Bayard, 1825-1878"
"Taylor, George, 1716-1781"
"Taylor, Hannis, 1851-1922"
"Taylor, Henry Osborn, 1856-1941"
"Taylor, Robert Tunstall, 1867-1929"
"Taylor, Telford."
"Temple, George Frederick James, 1901-"
"Templeton, Kenneth S."
"Tennent, David Hilt, 1873-1941"
"Teresa of Avila, Saint, 1515-1582"
"Terrill, Dean, 1904-1972"
"Thackeray, William Makepeace, 1811-1863"
"Thayer, Nathaniel B. (Nathaniel Bowman)"
"Thayer, William Sydney, 1864-1932"
"Thirkell, Angela, 1890-1961"
"Thomas, Evan."
"Thomas, M. Carey (Martha Carey), 1857-1935"
"Thompson, H. C."
"Thompson, Maurice, 1844-1901"
"Thomson, I. Davis."
"Thomson, Julia Maynard, 1843-1929"
"Thornton, Matthew, 1714?-1803"
"Thudicten, F."
"Thurber, James, 1894-1961"
"Thurston, Robert Henry, 1839-1903"
"Thurston, Sarah."
"Thwaites, Reuben Gold, 1853-1913"
"Tieck, Ludwig, 1773-1853"
"Tilden, Samuel J. (Samuel Jones), 1814-1886"
"Tinbergen, Jan, 1903-"
"Tinker, Chauncey Brewster, 1876-1963"
"Tocqueville, Alexis de, 1805-1859"
"Tolman, William Howe, 1861-"
"Tompkins, Daniel Augustus, 1851-1914"
"Tonsor, Stephen J. (Stephen John), 1923-"
"Tourgée, Albion W., 1838-1905"
"Tremain, Lyman, 1819-1878"
"Trendelenburg, Friedrich, 1844-1924"
"Trent, William P. (William Peterfield), 1862-1939"
"Trevelyan, George Otto, 1838-1928"
"Trezise, Williard Joseph, 1908-"
"Trowbridge, John, 1843-1923"
"Truman, Harry S., 1884-1972"
"Trumbull, H. Clay (Henry Clay), 1830-1903"
"Tufts, James Hayden, 1862-1942"
"Tunstall, Virginia Hunter Lyne."
"Turlington, Barbara."
"Turnbull, Lawrence, Mrs., -1927"
"Turnbull, Lawrence, Mrs., -1927"
"Turnbull, Lawrence."
"Turner, Frederick Jackson, 1861-1932"
"Turner, H. Godfrey, 1860-1928"
"Twain, Mark, 1835-1910"
"Tydings, Millard E. (Millard Evelyn), 1890-1961"
"Tyler, Anne"
"Tyler, H. W. (Harry Walter), 1863-1938"
"Tyler, John."
"Tyler, Moses Coit, 1835-1900"
"Tyrrell, Robert Yelverton, 1844-1914"
"Tyson, John S., 1797-1864"
"Tyson, Philip T. (Philip Thomas), 1799-1877"
"Uhler, John."
"Unamuno, Miguel de, 1864-1936"
"Underhill, Evelyn, 1875-1941"
"Untermeyer, Louis, 1885-1977"
"Updike, Daniel Berkeley, 1860-1941"
"Ursel, Marie Caroline d', comtesse"
"Valéry, Paul, 1871-1945"
"Van Buren, John, 1810-1866"
"Van Buren, Martin, 1782-1862"
"Van de Sandt, Max."
"Van Doren, Irita Taylor, 1891-1966"
"Van Doren, Mark, 1894-1972"
"Van Dyke, Henry, 1852-1933"
"Vanderpoel, Aaron, 1799-1870"
"Venable, F. P. (Francis Preston), 1856-1934"
"Verlentz, A."
"Very, Frank W. (Frank Washington), 1852-1927"
"Viebig, Clara, 1860-1952"
"Vielé-Griffin, Francis, 1864-1937"
"Viereck, George Sylvester, 1884-1962"
"Viereck, Peter, 1916-2006"
"Vignaud, Henry, 1830-1922"
"Vildrac, Charles, 1882-1971"
"Villard, Oswald Garrison, 1872-1949"
"Vincent, George E. (George Edgar), 1864-1941"
"Vincent, John Martin, 1857-1939"
"Vincent, John Martin, 1857-1939"
"Visscher, J. Paul."
"Vivas, Eliseo."
"Vizetelly, Frank H., 1864-1938"
"Voeĭkov, A. I. (Aleksandr Ivanovich), 1842-1916"
"Vom Stein, Heinrich."
"Von Hoist, H. (Hermann), 1841-1904"
"Von Holst, H. (Hermann), 1841-1904"
"Von Kármán, Theodore, 1881-1963"
"Von Neumann, John, 1903-1957"
"Wagstaff, Hollis M."
"Waksman, Selman A. (Selman Abraham), 1888-1973"
"Walcott, Charles D. (Charles Doolittle), 1850-1927"
"Walker, Mack."
"Walker, Margaret, active 1910-1912"
"Wallace, Henry A. (Henry Agard), 1888-1965"
"Wallin, J. E. Wallace (John Edward Wallace), 1876-1969"
"Walpole, Hugh, 1884-1941"
"Walter, Albert U."
"Walters, A. A. (Alan Arthur), 1926-2009"
"Walton, George, 1749 or 1750-1804"
"Ward, Leo R. (Leo Richard), 1893-"
"Ward, Mabel H."
"Ward, Robert DeCourcy, 1867-1931"
"Ward, William Hayes, 1835-1916"
"Ware, William R. (William Robert), 1832-1915"
"Waring, Jeremiah."
"Warner, Charles Dudley, 1829-1900"
"Warner, F. J."
"Warren, Minton, 1850-1907"
"Warren, P. S. (Percival Sidney), 1890-1970"
"Warren, Robert Penn, 1905-1989"
"Warton, Joseph, 1722-1800"
"Warton, Thomas, 1728-1790"
"Washburn, Stanley, 1878-1950"
"Washington, Ida H."
"Waters, Aaron C. (Aaron Clement), 1905-1991"
"Watson, John B. (John Broadus), 1878-1958"
"Watson, William, 1858-1935"
"Watterson, Henry, 1840-1921"
"Webb, Alexander S. (Alexander Stewart), 1835-1911"
"Webb, James E. (James Edwin), 1906-1992"
"Webb, Mary, 1881-1927"
"Webster, Daniel, 1782-1852"
"Weddell, Alexander Wilbourne, 1876-1948"
"Weeks, Stephen B. (Stephen Beauregard), 1865-1918"
"Weil, André, 1906-1998"
"Weiss, Paul A., 1898-1989"
"Welch, d'Alté A. (d'Alté Aldridge), 1907-1970"
"Welch, William Henry, 1850-1934"
"Welles, Gideon, 1802-1878"
"Welles, Sumner, 1892-1961"
"Wellington, Arthur Wellesley, Duke of, 1769-1852"
"Wells, H. G. (Herbert George), 1866-1946"
"Wesenberg-Lund, C. (Carl), 1867-1955"
"Wesley, Samuel, 1662-1735"
"West, Andrew Fleming, 1853-1943"
"West, Rebecca, 1892-1983"
"Westcott, Thompson."
"Westerfield, Ray Bert, 1884-1961"
"Westermann, William Linn, 1873-1954"
"Wetzel, William Achenbach."
"Weyforth, William O. (William Oswald), 1889-"
"Weyl, Hermann, 1885-1955"
"Weyl, Nathaniel, 1910-2005"
"Wheatley, Henry B. (Henry Benjamin), 1838-1917"
"Wheeler, Benjamin Ide, 1854-1927"
"Whicher, George Frisbie, 1889-1954"
"Whipple, William, 1730-1785"
"White, Andrew Dickson, 1832-1918"
"White, John Williams, 1849-1917"
"White, Joseph Blanco, 1775-1841"
"White, Newman Ivey, 1892-1948"
"Whitehead, J. B. (John Boswell), 1872-1954"
"Whitehead, T. N. (Thomas North)"
"Whiteley, James Gustavus, 1866-1947"
"Whitman, Walt, 1819-1892"
"Whitney, A. D. T. (Adeline Dutton Train), 1824-1906"
"Whitney, J. D. (Josiah Dwight), 1819-1896"
"Whitney, William Dwight, 1827-1894"
"Wichert, Ernst, 1831-1902"
"Wieland, Christoph Martin, 1733-1813"
"Wiener, Norbert, 1894-1964"
"Wiener, Philip P. (Philip Paul), 1905-1992"
"Wigmore, John Henry, 1863-1943"
"Wilamowitz-Moellendorff, Ulrich von, 1848-1931"
"Wilbur, Richard, 1921-2017"
"Wilcox, Francis O. (Francis Orlando), 1908-1985"
"Wilde, Johnny"
"Wilde, Johnny."
"Wilder, Burt G. (Burt Green), 1841-1925"
"Wilder, Thornton, 1897-1975"
"Wiley, Harvey Washington, 1844-1930"
"Wilhelmj, August, 1845-1908"
"Will, George F."
"Willard, Frances E. (Frances Elizabeth), 1839-1898"
"Willcox, Mark, 1744-1827"
"Willcox, Walter Francis, 1861-1964"
"Williams, Barney, 1824-1876"
"Williams, Helen G."
"Williams, John Skelton, 1865-1926"
"Williams, Jonathan, 1929-2008"
"Williams, Jonathan, 1929-2008"
"Williams, Ralph Coplestone, 1887-"
"Williams, Robert W. (Robert Wood), 1890-"
"Williams, Robert W. (Robert Wood), 1890-"
"Williams, Talcott, 1849-1928"
"Williams, William, 1731-1811"
"Willis, Benjamin G."
"Willis, Nathaniel Parker, 1806-1867"
"Willkie, Wendell L. (Wendell Lewis), 1892-1944"
"Willoughby, Westel Woodbury, 1867-1945"
"Willoughby, William F. (William Franklin), 1867-1960"
"Willson, John, active 1780"
"Wilmer, William Holland, 1863-1936"
"Wilson, Clyde Norman."
"Wilson, Edwin Bidwell, 1879-1964"
"Wilson, Henry B. (Investor)"
"Wilson, James, 1742-1798"
"Wilson, Theodore Halbert."
"Wilson, William Lyne, 1843-1900"
"Winsor, Justin, 1831-1897"
"Winter, William, 1836-1917"
"Winters, Yvor, 1900-1968"
"Winthrop, Robert C. (Robert Charles), 1809-1894"
"Wirt, William, 1772-1834"
"Wise, Henry A. (Henry Alexander), 1806-1876"
"Wise, Thomas James, 1859-1937"
"Wissler, Clark, 1870-1947"
"Witherspoon, John, 1723-1794"
"Wöhler, Friedrich, 1800-1882"
"Wolcott, Oliver, 1760-1833"
"Wolf-Gazo, Ernest, 1947-"
"Wolle, John Frederick."
"Wones, David R."
"Wood, Francis Asbury, 1859-1948"
"Woodbridge, Frederick James Eugene, 1867-1940"
"Woodburn, James Albert, 1856-1943"
"Woodbury, G. E."
"Woodbury, Levi, 1789-1851"
"Woodward, C. Vann (Comer Vann), 1908-1999"
"Woodward, Robert Simpson, 1849-1924"
"Woolf, Leonard, 1880-1969"
"Woollcott, Alexander, 1887-1943"
"Woolman, Samuel, Mrs., -1773"
"Woolsey, Theodore Dwight, 1801-1889"
"Woolsey, Theodore Salisbury, 1852-1929"
"Woolson, Constance Fenimore, 1840-1894"
"Wordsworth, William, 1770-1850"
"Wright, Carroll D. (Carroll Davidson), 1840-1909"
"Wright, Carroll D. (Carroll Davidson), 1840-1909"
"Wright, John Kirtland, 1891-1969"
"Wright, Marcus J. (Marcus Joseph), 1831-1922"
"Wrigley, Gladys M."
"Wroth, Lawrence C. (Lawrence Counselman), 1884-1970"
"Wyman, Samuel, 1809-1883"
"Wyman, William, 1825-1903"
"Wyman, William, 1825-1903"
"Wythe, George, 1726-1806"
"Yang, Richard H."
"Yerkes, Robert Mearns, 1876-1956"
"Yi, Yong-pʻil."
"Young, Hugh H., 1870-1945"
"Young, John Howard."
"Young, John, 1802-1852"
"Younge, O. R. (Otto Ruder), 1901-"
"Youngman, Anna Prichitt."
"Yu, Po-Lung, 1940-"
"Zachariä, H. A. (Heinrich Albert), 1806-1875"
"Zara, Louis, 1910-2001"
"Zarębski, Juliusz, 1854-1885"
"Zen, E-an, 1928-"
"Zoepf, Heinrich, 1807-1877"
"Zola, Émile, 1840-1902"
