names
"A'Quarone, Leonard"
"De la Mare, Walter, 1873-1956"
"De la Mare, Walter, 1873-1956"
"De la Rue, Sidney, 1888-"
"De Lezze, Michele."
"De Morthes, Leon."
"DeAngelis, Catherine, 1940-"
"Dearing, Fred Morris, 1879-1963"
"Dedekind, Richard, 1831-1916"
"Dehn, Roy A. (Roy Arthur), 1915-"
"Dejean, Leon, Ambassador"
"Dela Jensen, O."
"Deland, Margaret, 1857-1945"
"Delano, Frederic Adrian, 1863-1953"
"Dempter, Ryland N."
"Demster, Rylan Newman."
"Dennis, William Cullen, 1878-"
"Detmold, Christian Edward, 1810-1887"
"Dewey, Chester, 1784-1867"
"Dewey, Davis Rich, 1858-1942"
"Dewey, Melvil, 1851-1931"
"Diamond, William, 1917-2010"
"Dickinson, John S. (Treasurer)"
"Diehl, Charles, 1859-1944"
"Dittus, Christian W."
"Dix, Dorothea Lynde, 1802-1887"
"Dix, John A. (John Adams), 1798-1879"
"Dixon, James R., -1960"
"Dobbin, George W., 1809-1891"
"Dodd, William Edward, 1869-1940"
"Dodds, Harold W. (Harold Willis), 1889-1980"
"Dodge, Grenville M., 1831-1916"
"Dodge, Mary Abigail, 1833-1896"
"Dodge, Mary Mapes, 1830-1905"
"Dodge, Theodore Ayrault, 1842-1909"
"Dodge, William E. (William Earl), 1805-1883"
"Dodsley, Robert, 1703-1764"
"Dohme, A. R. L."
"Dohrn, Reinhard, 1880-1962"
"Dolley, William Lee, 1887-"
"Dominian, Leon, 1880-"
"Donelson, Andrew Jackson, 1799-1871"
"Donnay, J. D. H. (Joseph Désiré Hubert), 1902-"
"Donner, Henry Wolfgang"
"Doremus, Robert Ogden, 1824-1906"
"Doren, Anna Pietsch."
"Dornan, James E."
"Dorr, Julia C. R. (Julia Caroline Ripley), 1825-1913"
"Dorsey, George Edwin, 1892-1953"
"Dorsey, William, active 1800"
"Dos Passos, John, 1896-1970"
"Doub, George Cochran."
"Douglas, Amanda M., 1831-1916"
"Doyle, Arthur Conan, 1859-1930"
"Doyle, Arthur Conan, Sir, 1859-1930"
"Doyle, William L. (William Lewis), 1910-"
"Drabble, Margaret, 1939-"
"Draeseke, Felix, 1835-1913"
"Drake, Charles D. (Charles Daniel), 1811-1892"
"Drake, Robert S., 1905-2003"
"Draper, Henry, 1837-1882"
"Draper, John William, 1893-"
"Drayton, William, 1776-1846"
"Drew, John, 1853-1927"
"Dreyer, Geo. P. (George Peter), 1866-1931"
"Driesch, Hans, 1867-1941"
"Drinkwater, John, 1882-1937"
"Drisler, Henry, 1818-1897"
"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963"
"Duffy, Edmund, 1899-1962"
"Duffy, Edmund, 1899-1962"
"Duggar, Benjamin M. (Benjamin Minge), 1872-1956"
"Dulles, Allen, 1893-1969"
"Dulles, John Foster, 1888-1959"
"Dulles, John W. F."
"Duncan, Louis, 1862-1916"
"Dunér, N. C. (Nils Christofer), 1839-1914"
"Dunlap, Knight, 1875-1949"
"Dunn, James C. (James Clement), 1890-1979"
"Dunning, John R. (John Ray), 1907-1975"
"Durand, Edward Dana, 1871-1960"
"Durrell, L. W. (Lawrence Wood), 1888-1970"
"Dutcher, Salem."
"Dwight, Theodore W. (Theodore William), 1822-1892"
"Dwight, Timothy, 1828-1916"
"Dyckman, John W."
"Dyer, Henry, 1848-1918"
"Dykstra, Clarence A. (Clarence Addison), 1883-1950"
"Dypersdorfer, Agnes."
"Dypersdorfer, Ott."
"Dysart, John (Retailer)"
